event_type,ts,src_ip,src_port,dest_ip,dest_port,vlan,proto,app_proto,alert.severity,alert.signature,alert.category,alert.action,alert.signature_id,alert.gid,alert.rev,alert.metadata.signature_severity,alert.metadata.former_category,alert.metadata.attack_target,alert.metadata.deployment,alert.metadata.affected_product,alert.metadata.created_at,alert.metadata.performance_impact,alert.metadata.updated_at,alert.metadata.malware_family,alert.metadata.tag,alert.metadata.confidence,alert.metadata.reviewed_at,alert.metadata.mitre_tactic_id,alert.metadata.mitre_tactic_name,alert.metadata.mitre_technique_id,alert.metadata.mitre_technique_name,flow_id,pcap_cnt,tx_id,icmp_code,icmp_type,tunnel.src_ip,tunnel.src_port,tunnel.dest_ip,tunnel.dest_port,tunnel.proto,tunnel.depth,community_id
alert,2021-09-24T17:04:25.315046Z,52.98.163.18,25,10.9.23.102,63747,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,9.83E+14,61538,,,,,,,,,,1:uZ5BFqF3UDPXwYRCGz2JLheSYoU=
alert,2021-09-24T17:04:33.901204Z,45.64.187.254,25,10.9.23.102,63749,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.50E+15,64598,,,,,,,,,,1:X+diAAa1imKm6ecW4IqU/3vzRc0=
alert,2021-09-24T17:04:40.95472Z,193.70.18.144,25,10.9.23.102,63750,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.85E+15,66154,,,,,,,,,,1:V2yuaYiArEqma3A+/nf+mUeujKU=
alert,2021-09-24T17:04:41.95889Z,185.14.56.240,25,10.9.23.102,63752,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.08E+13,66207,,,,,,,,,,1:+knOgf0OkyYPCHP+QeAmlXK6ihM=
alert,2021-09-24T17:04:42.848737Z,52.97.201.226,25,10.9.23.102,63753,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,9.92E+14,66251,,,,,,,,,,1:KEKZSu9ko2ZGEX2Zki7KE/WUnDc=
alert,2021-09-24T17:04:45.764326Z,52.97.201.226,25,10.9.23.102,63755,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,2.21E+15,67165,,,,,,,,,,1:hlfw0zirXQF7EYbnFI7nCyF4xQg=
alert,2021-09-24T17:04:45.767914Z,52.97.201.226,25,10.9.23.102,63756,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.60E+15,67170,,,,,,,,,,1:ayuB/Y8RX4XQ3JCyewPAst4OfIY=
alert,2021-09-24T17:04:47.630881Z,208.84.244.49,25,10.9.23.102,63754,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.27E+15,67880,,,,,,,,,,1:OPUQ+0Ex9etcN0KlB7ML/7YyRwk=
alert,2021-09-24T17:04:48.244896Z,45.64.187.254,25,10.9.23.102,63749,,TCP,tls,3,SURICATA TLS invalid record/traffic,Generic Protocol Command Decode,allowed,2230010,1,1,,,,,,,,,,,,,,,,,1.50E+15,68450,0,,,,,,,,,1:X+diAAa1imKm6ecW4IqU/3vzRc0=
alert,2021-09-24T17:04:48.244896Z,45.64.187.254,25,10.9.23.102,63749,,TCP,tls,3,SURICATA TLS invalid record type,Generic Protocol Command Decode,allowed,2230002,1,1,,,,,,,,,,,,,,,,,1.50E+15,68450,0,,,,,,,,,1:X+diAAa1imKm6ecW4IqU/3vzRc0=
alert,2021-09-24T17:04:48.245051Z,10.9.23.102,63749,45.64.187.254,25,,TCP,tls,3,SURICATA TLS invalid record/traffic,Generic Protocol Command Decode,allowed,2230010,1,1,,,,,,,,,,,,,,,,,1.50E+15,68452,0,,,,,,,,,1:X+diAAa1imKm6ecW4IqU/3vzRc0=
alert,2021-09-24T17:04:48.245051Z,10.9.23.102,63749,45.64.187.254,25,,TCP,tls,3,SURICATA TLS invalid record type,Generic Protocol Command Decode,allowed,2230002,1,1,,,,,,,,,,,,,,,,,1.50E+15,68452,0,,,,,,,,,1:X+diAAa1imKm6ecW4IqU/3vzRc0=
alert,2021-09-24T17:04:51.45015Z,52.97.232.194,25,10.9.23.102,63757,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,4.29E+14,70817,,,,,,,,,,1:QS79pxV3Y5oz8EruLd/1OFO9op4=
alert,2021-09-24T17:04:53.048515Z,10.9.23.102,63757,52.97.232.194,25,,TCP,failed,3,SURICATA Applayer No TLS after STARTTLS,Generic Protocol Command Decode,allowed,2260004,1,2,,,,,,,,,,,,,,,,,4.29E+14,,,,,,,,,,,1:QS79pxV3Y5oz8EruLd/1OFO9op4=
alert,2021-09-24T17:04:53.048515Z,10.9.23.102,63757,52.97.232.194,25,,TCP,failed,3,SURICATA Applayer Unexpected protocol,Generic Protocol Command Decode,allowed,2260005,1,1,,,,,,,,,,,,,,,,,4.29E+14,,,,,,,,,,,1:QS79pxV3Y5oz8EruLd/1OFO9op4=
